Designator,Footprint,Quantity,Value,LCSC Part #
"01, 02, 03, 04, 05, 06, 07, 08, 09, D, L, R, R1, SE, ST, U",0402,16,10k,
B01,SW_Cherry_MX_1.00u_Plate,1,B01,
B02,SW_Cherry_MX_1.00u_Plate,1,B02,
B03,SW_Cherry_MX_1.00u_Plate,1,B03,
B04,SW_Cherry_MX_1.00u_Plate,1,B04,
B05,SW_Cherry_MX_1.00u_Plate,1,B05,
B06,SW_Cherry_MX_1.00u_Plate,1,B06,
B07,SW_Cherry_MX_1.00u_Plate,1,B07,
B08,SW_Cherry_MX_1.00u_Plate,1,B08,
B09,SW_Cherry_MX_1.00u_Plate,1,B09,
"C1, C2, C3, C4, C5, C7",0402,6,100nF,
C10,0402,1,2.2uF,
C25,0402,1,10nF,
"C26, C27, C8, C9",0402,4,1uF,
"C28, C29",0402,2,10pF,
C6,0402,1,4.7uF,
D1,0603,1,DEBUG_LED,
D2,0603,1,RED,
DOWN,SW_Cherry_MX_1.00u_Plate,1,DOWN,
FB1,0603,1,120R,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J2,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_16P,
LEFT,SW_Cherry_MX_1.00u_Plate,1,LEFT,
"R2, R7",0402,2,510,
"R3, R4",0402,2,22,
"R5, R6",0402,2,5.1k,
RIGHT,SW_Cherry_MX_1.00u_Plate,1,RIGHT,
SELECT,SW_Cherry_MX_1.00u_Plate,1,SELECT,
START,SW_Cherry_MX_1.00u_Plate,1,START,
SW16,SW_SPDT_PCM12,1,SW_SPDT,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F411RCTx,
U2,SOT-23-5,1,AP2112K-3.3,
U3,SOT-23-6,1,USBLC6-2SC6,
UP,SW_Cherry_MX_1.00u_Plate,1,UP,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
