Designator,Mid X,Mid Y,Rotation,Layer
01,172.5,-77.5,0.0,top
02,179.6,-77.49,0.0,top
03,186.51,-77.5,0.0,top
04,193.0,-77.5,0.0,top
05,172.51,-74.5,0.0,top
06,179.51,-74.5,0.0,top
07,186.51,-74.5,0.0,top
08,193.0,-74.5,0.0,top
09,172.49,-71.5,0.0,top
B01,196.365,-106.41,0.0,top
B02,227.555,-100.37,0.0,top
B03,259.555,-107.87,0.0,top
B04,290.555,-114.37,0.0,top
B05,201.015,-135.45,0.0,top
B06,232.365,-129.41,0.0,top
B07,263.555,-136.87,0.0,top
B08,295.555,-143.37,0.0,top
B09,204.515,-164.45,0.0,top
C1,184.02,-64.5,180.0,top
C10,172.5,-59.0,270.0,top
C2,172.5,-61.02,90.0,top
C25,178.52,-48.5,0.0,top
C26,175.0,-48.0,90.0,top
C27,173.5,-48.02,90.0,top
C28,181.5,-46.5,180.0,top
C29,179.52,-46.5,0.0,top
C3,172.0,-52.5,90.0,top
C4,188.5,-52.52,270.0,top
C5,184.02,-48.5,180.0,top
C6,190.5,-52.48,270.0,top
C7,180.5,-48.52,0.0,top
C8,214.5,-45.5,180.0,top
C9,214.5,-51.5,180.0,top
D,167.0,-56.5,180.0,top
D1,187.5,-45.2125,270.0,top
D2,211.5,-51.5,0.0,top
DOWN,102.055,-93.87,0.0,top
FB1,174.2125,-50.0,180.0,top
J1,201.27,-49.5,270.0,top
J2,217.5,-39.0,180.0,top
L,167.0,-53.5,180.0,top
LEFT,64.555,-99.37,0.0,top
R,167.0,-59.5,180.0,top
R1,193.5,-53.49,270.0,top
R2,187.5,-48.5,270.0,top
R3,213.0,-57.0,180.0,top
R4,213.0,-55.5,180.0,top
R5,223.5,-49.0,270.0,top
R6,217.0,-49.0,270.0,top
R7,210.0,-49.5,90.0,top
RIGHT,139.055,-109.37,0.0,top
SE,167.02,-47.5,180.0,top
SELECT,98.865,-45.41,0.0,top
ST,167.02,-50.5,180.0,top
START,68.865,-45.41,0.0,top
SW16,194.5,-42.0,180.0,top
U,167.0,-62.5,180.0,top
U1,180.5,-56.5,180.0,top
U2,214.0,-48.5,90.0,top
U3,219.5,-49.0,90.0,top
UP,125.055,-178.87,0.0,top
Y1,180.36,-43.15,180.0,top
